,행정동명,시군구명,행정동명.1,행정동코드,버스정류소개수,음식점개수,주점개수,지하철역개수,자동차소유대수,예측건수
78,금천구 시흥5동,금천구,시흥5동,1154571000,36.0,121.0,25.0,0.0,5395.0,1.6633269891328197
79,금천구 독산2동,금천구,독산2동,1154562000,10.0,128.0,31.0,0.0,5237.0,11.894840415175864
80,노원구 상계2동,노원구,상계2동,1135064000,25.0,409.0,121.0,1.0,6041.0,91.87096541939616
81,노원구 공릉1동,노원구,공릉1동,1135059500,45.0,352.0,59.0,2.0,11031.0,90.06276960596034
82,노원구 상계1동,노원구,상계1동,1135063000,29.0,229.0,46.0,1.0,13791.0,62.6675590690187
83,노원구 월계1동,노원구,월계1동,1135056000,49.0,208.0,23.0,2.0,6728.0,50.64616794957397
84,노원구 공릉2동,노원구,공릉2동,1135060000,51.0,246.0,25.0,1.0,13080.0,49.07256822811325
85,노원구 상계10동,노원구,상계10동,1135072000,22.0,18.0,2.0,0.0,5362.0,-13.558116104356364
86,노원구 상계8동,노원구,상계8동,1135070000,14.0,36.0,4.0,0.0,6503.0,-5.878026610394482
87,노원구 월계3동,노원구,월계3동,1135058000,22.0,58.0,2.0,0.0,8861.0,-1.1128996277393597
88,노원구 하계1동,노원구,하계1동,1135061100,38.0,121.0,8.0,0.0,7494.0,-0.002584350393931345
89,노원구 중계1동,노원구,중계1동,1135062100,18.0,70.0,5.0,0.0,8457.0,1.5114253103383035
90,도봉구 방학1동,도봉구,방학1동,1132069000,32.0,299.0,83.0,1.0,10234.0,74.13533744022084
91,도봉구 창1동,도봉구,창1동,1132051100,19.0,116.0,15.0,2.0,8208.0,50.07863175236913
92,도봉구 도봉2동,도봉구,도봉2동,1132052200,43.0,112.0,31.0,2.0,8455.0,48.60494843570414
93,도봉구 창4동,도봉구,창4동,1132051400,35.0,118.0,35.0,1.0,8501.0,32.688133173914416
94,도봉구 도봉1동,도봉구,도봉1동,1132052100,36.0,224.0,61.0,0.0,6637.0,28.339811513375984
95,도봉구 쌍문4동,도봉구,쌍문4동,1132068100,17.0,33.0,3.0,0.0,5445.0,-9.879876293301638
96,도봉구 쌍문1동,도봉구,쌍문1동,1132066000,44.0,85.0,8.0,0.0,6407.0,-8.251490379500712
97,도봉구 방학2동,도봉구,방학2동,1132070000,23.0,105.0,12.0,0.0,4841.0,-2.0067527294414873
98,도봉구 방학3동,도봉구,방학3동,1132071000,26.0,63.0,5.0,0.0,8372.0,-1.837339146267638
99,도봉구 쌍문3동,도봉구,쌍문3동,1132068000,13.0,109.0,17.0,0.0,3916.0,1.0198093076990205
100,동대문구 제기동,동대문구,제기동,1123054500,26.0,347.0,55.0,2.0,6448.0,83.25235302512834
101,동대문구 용신동,동대문구,용신동,1123053600,39.0,414.0,59.0,1.0,10209.0,76.3349311468713
102,동대문구 장안1동,동대문구,장안1동,1123065000,28.0,403.0,79.0,0.0,12984.0,71.25824112358339
103,동대문구 전농1동,동대문구,전농1동,1123056000,34.0,262.0,55.0,1.0,7491.0,53.45461529062681
104,동대문구 장안2동,동대문구,장안2동,1123066000,36.0,318.0,72.0,0.0,10665.0,51.76025265725233
105,동대문구 휘경2동,동대문구,휘경2동,1123073000,19.0,83.0,10.0,0.0,6353.0,-0.45658207069097756
106,동대문구 전농2동,동대문구,전농2동,1123057000,9.0,92.0,9.0,0.0,5449.0,1.0886102332865306
107,동대문구 청량리동,동대문구,청량리동,1123070500,25.0,193.0,29.0,0.0,5091.0,13.55554691711086
108,동대문구 답십리1동,동대문구,답십리1동,1123060000,27.0,142.0,20.0,0.0,9608.0,14.604284655822845
109,동대문구 이문1동,동대문구,이문1동,1123074000,24.0,218.0,34.0,0.0,4081.0,16.018573993444
